Ranking diari,Audiencia,Cadena,Dia,Mes,Any
0,"15,9%",la1,01,01,2019
1,"14,2%",antena3,01,01,2019
2,"9,1%",telecinco,01,01,2019
3,"5,3%",cuatro,01,01,2019
4,"5,0%",lasexta,01,01,2019
5,"3,8%",13tv,01,01,2019
6,"3,2%",la2,01,01,2019
7,"2,7%",fdf,01,01,2019
8,"2,6%",paramountchannel,01,01,2019
9,"2,3%",energy,01,01,2019
10,"1,8%",divinity,01,01,2019
11,"1,7%",neox,01,01,2019
12,"1,7%",clan,01,01,2019
13,"1,6%",discoverymax,01,01,2019
14,"1,5%",mega-espana,01,01,2019
15,"1,5%",nova,01,01,2019
16,"1,1%",atreseries,01,01,2019
17,"1,0%",disney-channel,01,01,2019
18,"0,9%",boing,01,01,2019
19,"0,8%",bemadtv,01,01,2019
20,"0,7%",canal24horas,01,01,2019
21,"0,6%",dkiss,01,01,2019
22,"0,5%",gol-television,01,01,2019
23,"0,4%",teledeporte,01,01,2019
24,"0,3%",ten,01,01,2019
25,"0,2%",real-madrid-tv,01,01,2019
26,"13,9%",telecinco,02,01,2019
27,"13,0%",antena3,02,01,2019
28,"10,6%",la1,02,01,2019
29,"7,1%",lasexta,02,01,2019
30,"4,8%",cuatro,02,01,2019
31,"3,0%",fdf,02,01,2019
32,"2,6%",neox,02,01,2019
33,"2,6%",nova,02,01,2019
34,"2,3%",la2,02,01,2019
35,"1,9%",13tv,02,01,2019
36,"1,9%",paramountchannel,02,01,2019
37,"1,8%",divinity,02,01,2019
38,"1,6%",discoverymax,02,01,2019
39,"1,5%",energy,02,01,2019
40,"1,5%",mega-espana,02,01,2019
41,"1,3%",clan,02,01,2019
42,"1,1%",atreseries,02,01,2019
43,"1,0%",disney-channel,02,01,2019
44,"0,9%",dkiss,02,01,2019
45,"0,9%",boing,02,01,2019
46,"0,9%",canal24horas,02,01,2019
47,"0,6%",gol-television,02,01,2019
48,"0,6%",bemadtv,02,01,2019
49,"0,4%",teledeporte,02,01,2019
50,"0,2%",ten,02,01,2019
51,"0,2%",real-madrid-tv,02,01,2019
52,"14,4%",antena3,03,01,2019
53,"12,1%",telecinco,03,01,2019
54,"9,8%",la1,03,01,2019
55,"6,5%",lasexta,03,01,2019
56,"4,9%",cuatro,03,01,2019
57,"3,0%",la2,03,01,2019
58,"3,0%",fdf,03,01,2019
59,"2,9%",nova,03,01,2019
60,"2,6%",neox,03,01,2019
61,"2,3%",energy,03,01,2019
62,"2,0%",13tv,03,01,2019
63,"1,9%",divinity,03,01,2019
64,"1,9%",clan,03,01,2019
65,"1,8%",mega-espana,03,01,2019
66,"1,6%",discoverymax,03,01,2019
67,"1,6%",paramountchannel,03,01,2019
68,"1,5%",atreseries,03,01,2019
69,"1,4%",boing,03,01,2019
70,"1,4%",disney-channel,03,01,2019
71,"0,9%",dkiss,03,01,2019
72,"0,7%",gol-television,03,01,2019
73,"0,7%",bemadtv,03,01,2019
