index,Audiencia,Año,Cadena,Dia,Mes
0,"15,9%",2019,la1,01,01
1,"14,2%",2019,antena3,01,01
2,"9,1%",2019,telecinco,01,01
3,"5,3%",2019,cuatro,01,01
4,"5,0%",2019,lasexta,01,01
5,"3,8%",2019,13tv,01,01
6,"3,2%",2019,la2,01,01
7,"2,7%",2019,fdf,01,01
8,"2,6%",2019,paramountchannel,01,01
9,"2,3%",2019,energy,01,01
10,"1,8%",2019,divinity,01,01
11,"1,7%",2019,neox,01,01
12,"1,7%",2019,clan,01,01
13,"1,6%",2019,discoverymax,01,01
14,"1,5%",2019,mega-espana,01,01
15,"1,5%",2019,nova,01,01
16,"1,1%",2019,atreseries,01,01
17,"1,0%",2019,disney-channel,01,01
18,"0,9%",2019,boing,01,01
19,"0,8%",2019,bemadtv,01,01
20,"0,7%",2019,canal24horas,01,01
21,"0,6%",2019,dkiss,01,01
22,"0,5%",2019,gol-television,01,01
23,"0,4%",2019,teledeporte,01,01
24,"0,3%",2019,ten,01,01
25,"0,2%",2019,real-madrid-tv,01,01
0,"13,9%",2019,telecinco,02,01
1,"13,0%",2019,antena3,02,01
2,"10,6%",2019,la1,02,01
3,"7,1%",2019,lasexta,02,01
4,"4,8%",2019,cuatro,02,01
5,"3,0%",2019,fdf,02,01
6,"2,6%",2019,neox,02,01
7,"2,6%",2019,nova,02,01
8,"2,3%",2019,la2,02,01
9,"1,9%",2019,13tv,02,01
10,"1,9%",2019,paramountchannel,02,01
11,"1,8%",2019,divinity,02,01
12,"1,6%",2019,discoverymax,02,01
13,"1,5%",2019,energy,02,01
14,"1,5%",2019,mega-espana,02,01
15,"1,3%",2019,clan,02,01
16,"1,1%",2019,atreseries,02,01
17,"1,0%",2019,disney-channel,02,01
18,"0,9%",2019,dkiss,02,01
19,"0,9%",2019,boing,02,01
20,"0,9%",2019,canal24horas,02,01
21,"0,6%",2019,gol-television,02,01
22,"0,6%",2019,bemadtv,02,01
23,"0,4%",2019,teledeporte,02,01
24,"0,2%",2019,ten,02,01
25,"0,2%",2019,real-madrid-tv,02,01
0,"14,4%",2019,antena3,03,01
1,"12,1%",2019,telecinco,03,01
2,"9,8%",2019,la1,03,01
3,"6,5%",2019,lasexta,03,01
4,"4,9%",2019,cuatro,03,01
5,"3,0%",2019,la2,03,01
6,"3,0%",2019,fdf,03,01
7,"2,9%",2019,nova,03,01
8,"2,6%",2019,neox,03,01
9,"2,3%",2019,energy,03,01
10,"2,0%",2019,13tv,03,01
11,"1,9%",2019,divinity,03,01
12,"1,9%",2019,clan,03,01
13,"1,8%",2019,mega-espana,03,01
14,"1,6%",2019,discoverymax,03,01
15,"1,6%",2019,paramountchannel,03,01
16,"1,5%",2019,atreseries,03,01
17,"1,4%",2019,boing,03,01
18,"1,4%",2019,disney-channel,03,01
19,"0,9%",2019,dkiss,03,01
20,"0,7%",2019,gol-television,03,01
21,"0,7%",2019,bemadtv,03,01
22,"0,6%",2019,canal24horas,03,01
23,"0,4%",2019,teledeporte,03,01
24,"0,4%",2019,real-madrid-tv,03,01
25,"0,3%",2019,ten,03,01
0,"14,0%",2019,telecinco,04,01
1,"12,3%",2019,antena3,04,01
2,"9,1%",2019,la1,04,01
3,"7,0%",2019,lasexta,04,01
4,"5,3%",2019,cuatro,04,01
5,"2,9%",2019,la2,04,01
6,"2,7%",2019,neox,04,01
7,"2,7%",2019,nova,04,01
8,"2,6%",2019,energy,04,01
9,"2,5%",2019,fdf,04,01
10,"1,9%",2019,13tv,04,01
11,"1,8%",2019,mega-espana,04,01
12,"1,8%",2019,clan,04,01
13,"1,7%",2019,divinity,04,01
14,"1,7%",2019,paramountchannel,04,01
15,"1,6%",2019,discoverymax,04,01
16,"1,6%",2019,boing,04,01
17,"1,5%",2019,disney-channel,04,01
18,"1,4%",2019,atreseries,04,01
19,"1,2%",2019,dkiss,04,01
20,"0,9%",2019,gol-television,04,01
21,"0,7%",2019,bemadtv,04,01
22,"0,6%",2019,canal24horas,04,01
23,"0,4%",2019,ten,04,01
24,"0,3%",2019,teledeporte,04,01
25,"0,2%",2019,real-madrid-tv,04,01
0,"11,4%",2019,antena3,05,01
1,"10,6%",2019,telecinco,05,01
2,"10,1%",2019,la1,05,01
3,"6,3%",2019,lasexta,05,01
4,"5,3%",2019,cuatro,05,01
5,"3,2%",2019,fdf,05,01
6,"3,1%",2019,energy,05,01
7,"2,6%",2019,la2,05,01
8,"2,4%",2019,neox,05,01
9,"2,2%",2019,paramountchannel,05,01
10,"2,1%",2019,clan,05,01
11,"2,0%",2019,13tv,05,01
12,"1,9%",2019,discoverymax,05,01
13,"1,8%",2019,divinity,05,01
14,"1,6%",2019,mega-espana,05,01
15,"1,6%",2019,nova,05,01
16,"1,4%",2019,disney-channel,05,01
17,"1,3%",2019,atreseries,05,01
18,"1,2%",2019,boing,05,01
19,"1,0%",2019,gol-television,05,01
20,"0,9%",2019,dkiss,05,01
21,"0,8%",2019,canal24horas,05,01
22,"0,8%",2019,bemadtv,05,01
23,"0,3%",2019,teledeporte,05,01
24,"0,3%",2019,ten,05,01
25,"0,2%",2019,real-madrid-tv,05,01
0,"12,4%",2019,la1,06,01
1,"11,1%",2019,antena3,06,01
