Audiencia,Cadena,Fecha
"14,9%",la1,2020-01-01
"11,6%",antena3,2020-01-01
"10,3%",telecinco,2020-01-01
"5,8%",cuatro,2020-01-01
"4,7%",lasexta,2020-01-01
"3,7%",la2,2020-01-01
"2,5%",13tv,2020-01-01
"2,4%",fdf,2020-01-01
"2,2%",energy,2020-01-01
"2,1%",paramountchannel,2020-01-01
"2,0%",nova,2020-01-01
"2,0%",clan,2020-01-01
"1,9%",discoverymax,2020-01-01
"1,8%",neox,2020-01-01
"1,6%",mega-espana,2020-01-01
"1,5%",atreseries,2020-01-01
"1,5%",divinity,2020-01-01
"1,0%",boing,2020-01-01
"1,0%",bemadtv,2020-01-01
"0,8%",disney-channel,2020-01-01
"0,8%",canal24horas,2020-01-01
"0,7%",dkiss,2020-01-01
"0,6%",gol-television,2020-01-01
"0,6%",ten,2020-01-01
"0,5%",teledeporte,2020-01-01
"0,2%",real-madrid-tv,2020-01-01
"14,2%",telecinco,2020-01-02
"11,4%",antena3,2020-01-02
"9,8%",la1,2020-01-02
"7,1%",lasexta,2020-01-02
"4,3%",cuatro,2020-01-02
"3,5%",fdf,2020-01-02
"2,7%",la2,2020-01-02
"2,5%",energy,2020-01-02
"2,3%",paramountchannel,2020-01-02
"2,2%",clan,2020-01-02
"2,2%",neox,2020-01-02
"2,1%",nova,2020-01-02
"2,0%",13tv,2020-01-02
"1,9%",divinity,2020-01-02
"1,8%",atreseries,2020-01-02
"1,8%",discoverymax,2020-01-02
"1,5%",boing,2020-01-02
"1,4%",disney-channel,2020-01-02
"1,4%",mega-espana,2020-01-02
"1,0%",dkiss,2020-01-02
"0,7%",gol-television,2020-01-02
"0,7%",canal24horas,2020-01-02
"0,6%",ten,2020-01-02
"0,6%",bemadtv,2020-01-02
"0,4%",teledeporte,2020-01-02
"0,3%",real-madrid-tv,2020-01-02
"13,5%",telecinco,2020-01-03
"11,5%",antena3,2020-01-03
"9,8%",la1,2020-01-03
"7,2%",lasexta,2020-01-03
"4,0%",cuatro,2020-01-03
"3,1%",fdf,2020-01-03
"2,9%",energy,2020-01-03
"2,5%",clan,2020-01-03
"2,3%",nova,2020-01-03
"2,2%",neox,2020-01-03
"2,2%",la2,2020-01-03
"2,1%",discoverymax,2020-01-03
"2,0%",paramountchannel,2020-01-03
"1,7%",atreseries,2020-01-03
"1,7%",13tv,2020-01-03
"1,7%",divinity,2020-01-03
"1,6%",boing,2020-01-03
"1,5%",mega-espana,2020-01-03
"1,2%",dkiss,2020-01-03
"1,0%",disney-channel,2020-01-03
"0,8%",canal24horas,2020-01-03
"0,7%",gol-television,2020-01-03
"0,5%",bemadtv,2020-01-03
"0,4%",ten,2020-01-03
"0,3%",teledeporte,2020-01-03
"0,3%",real-madrid-tv,2020-01-03
"11,5%",telecinco,2020-01-04
"10,1%",la1,2020-01-04
"8,9%",antena3,2020-01-04
"7,4%",lasexta,2020-01-04
"5,2%",cuatro,2020-01-04
"2,7%",energy,2020-01-04
"2,6%",canal24horas,2020-01-04
"2,6%",la2,2020-01-04
"2,6%",fdf,2020-01-04
"2,2%",clan,2020-01-04
"2,2%",paramountchannel,2020-01-04
"1,9%",discoverymax,2020-01-04
"1,9%",neox,2020-01-04
"1,8%",13tv,2020-01-04
"1,7%",nova,2020-01-04
"1,7%",divinity,2020-01-04
"1,3%",atreseries,2020-01-04
"1,3%",mega-espana,2020-01-04
"1,2%",boing,2020-01-04
"1,0%",disney-channel,2020-01-04
"0,9%",dkiss,2020-01-04
"0,9%",gol-television,2020-01-04
"0,7%",teledeporte,2020-01-04
"0,7%",bemadtv,2020-01-04
"0,4%",ten,2020-01-04
"0,4%",real-madrid-tv,2020-01-04
"12,0%",la1,2020-01-05
"10,2%",telecinco,2020-01-05
"8,8%",antena3,2020-01-05
"5,8%",lasexta,2020-01-05
"5,5%",cuatro,2020-01-05
"3,1%",la2,2020-01-05
"2,8%",fdf,2020-01-05
"2,8%",energy,2020-01-05
"2,2%",divinity,2020-01-05
"2,2%",neox,2020-01-05
"2,1%",clan,2020-01-05
"2,1%",nova,2020-01-05
"2,1%",13tv,2020-01-05
"1,9%",discoverymax,2020-01-05
"1,7%",atreseries,2020-01-05
"1,7%",paramountchannel,2020-01-05
"1,5%",gol-television,2020-01-05
"1,4%",mega-espana,2020-01-05
"1,4%",boing,2020-01-05
"1,2%",canal24horas,2020-01-05
"1,1%",dkiss,2020-01-05
"1,0%",disney-channel,2020-01-05
"0,8%",bemadtv,2020-01-05
"0,6%",teledeporte,2020-01-05
"0,4%",ten,2020-01-05
"0,4%",real-madrid-tv,2020-01-05
"12,0%",la1,2020-01-06
"10,0%",antena3,2020-01-06
"9,7%",telecinco,2020-01-06
"5,7%",cuatro,2020-01-06
"5,4%",lasexta,2020-01-06
"3,6%",la2,2020-01-06
"3,0%",fdf,2020-01-06
"2,7%",energy,2020-01-06
"2,4%",paramountchannel,2020-01-06
"2,3%",13tv,2020-01-06
"2,2%",discoverymax,2020-01-06
"2,2%",nova,2020-01-06
"1,9%",neox,2020-01-06
"1,7%",mega-espana,2020-01-06
"1,7%",divinity,2020-01-06
"1,6%",atreseries,2020-01-06
"1,6%",clan,2020-01-06
"1,4%",canal24horas,2020-01-06
